Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.108.241.130-65.8.113.73-8324-443-6,10.108.241.130,8324,65.8.113.73,443,6,28/09/2021 02:55:15 AM,6735432,16,32,1291.0,34820.0,523.0,0.0,80.6875,164.91845207051068,1440.0,0.0,1088.125,590.0456379287197,5361.348759812288,7.126491663786376,143307.06382978722,861608.2194836586,5868271.0,21.0,6729583.0,448638.8666666667,1514101.7636681905,5868271.0,26.0,5901904.0,190383.99999999997,1055255.9840837042,5876259.0,21.0,0,0,0,0,356,664,2.3754972212621253,4.7509944425242505,0.0,1440.0,736.9591836734695,685.8858007224329,470439.33163265296,0,1,0,0,0,0,1,1,2.0,752.3125,80.6875,1088.125,0,0,0,0,0,0,16,1291,32,34820,-1,10,5,0,28883.0,0.0,28883.0,28883.0,5868271.0,0.0,5868271.0,5868271.0,No Label
10.108.241.130-65.8.113.93-8328-443-6,10.108.241.130,8328,65.8.113.93,443,6,28/09/2021 02:55:21 AM,597611,12,16,1132.0,9641.0,517.0,0.0,94.33333333333333,159.23871921417134,1440.0,0.0,602.5625,703.2180286606234,18026.77661555761,46.85322057324915,22133.740740740745,108549.38625011362,565213.0,23.0,592164.0,53833.09090909092,170221.15799186338,567016.0,70.0,31476.0,2098.3999999999996,3235.7768950107966,10474.0,23.0,0,0,0,0,240,344,20.07995167424964,26.773268898999515,0.0,1440.0,371.4827586206896,585.8683189865434,343241.6871921182,0,1,0,0,0,0,1,1,1.0,384.75,94.33333333333333,602.5625,0,0,0,0,0,0,12,1132,16,9641,-1,10,7,0,0,0,0,0,0,0,0,0,No Label
10.108.241.130-35.244.181.201-7974-443-6,10.108.241.130,7974,35.244.181.201,443,6,28/09/2021 02:55:13 AM,8978264,4,2,77.0,92.0,46.0,0.0,19.25,23.05609102457165,46.0,46.0,46.0,0.0,18.823237988992084,0.6682806386624408,1795652.8,4005773.6293580295,8961395.0,88.0,8962632.0,2987544.0,5173506.751622249,8961395.0,88.0,5523.0,5523.0,0.0,5523.0,5523.0,0,1,0,0,80,40,0.44552042577496054,0.22276021288748027,0.0,46.0,30.714285714285708,21.68497395059757,470.2380952380952,0,0,0,1,1,0,0,0,0.0,35.833333333333336,19.25,46.0,0,0,0,0,0,0,4,77,2,92,-1,273,2,0,15632.0,0.0,15632.0,15632.0,8961395.0,0.0,8961395.0,8961395.0,No Label
10.108.241.130-65.8.113.73-8324-443-6,65.8.113.73,443,10.108.241.130,8324,6,28/09/2021 02:55:22 AM,84,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23809.52380952381,84.0,0.0,84.0,84.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,11904.761904761905,11904.761904761905,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,10,0,0,0,0,0,0,0,0,0,0,No Label
10.108.241.130-65.8.113.93-8328-443-6,65.8.113.93,443,10.108.241.130,8328,6,28/09/2021 02:55:22 AM,523,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5736.137667304015,261.5,173.24116139070415,384.0,139.0,139.0,139.0,0.0,139.0,139.0,0,0,0,0,0,0,0,0,0,40,20,3824.091778202677,1912.0458891013384,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,10,0,0,0,0,0,0,0,0,0,0,No Label
10.108.241.130-35.244.181.201-7974-443-6,35.244.181.201,443,10.108.241.130,7974,6,28/09/2021 02:55:22 AM,39,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51282.05128205128,39.0,0.0,39.0,39.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,25641.02564102564,25641.02564102564,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,273,0,0,0,0,0,0,0,0,0,0,No Label
10.108.241.130-65.8.113.73-8329-443-6,10.108.241.130,8329,65.8.113.73,443,6,28/09/2021 02:55:22 AM,79459,10,17,868.0,15255.0,526.0,0.0,86.8,169.46569629934615,1440.0,0.0,897.3529411764706,674.0835390714261,202909.6766886067,339.7978831850388,3056.1153846153848,9862.755518928463,50734.0,23.0,74520.0,8280.0,16220.544318856875,50734.0,155.0,28123.0,1757.6875000000002,2968.7820559672837,10679.0,23.0,0,0,0,0,212,364,125.85106784631067,213.94681533872816,0.0,1440.0,575.8214285714286,666.9215653572948,444784.37433862436,0,1,0,0,0,0,1,1,1.0,597.1481481481482,86.8,897.3529411764706,0,0,0,0,0,0,10,868,17,15255,-1,7,4,0,0,0,0,0,0,0,0,0,No Label
10.108.241.130-65.8.113.73-8329-443-6,65.8.113.73,443,10.108.241.130,8329,6,28/09/2021 02:55:22 AM,48,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41666.666666666664,48.0,0.0,48.0,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20833.333333333332,20833.333333333332,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,7,0,0,0,0,0,0,0,0,0,0,No Label
10.108.241.130-65.8.113.93-8330-443-6,10.108.241.130,8330,65.8.113.93,443,6,28/09/2021 02:55:22 AM,22021,8,6,814.0,3833.0,517.0,0.0,101.75,177.10267401385317,1440.0,0.0,638.8333333333334,722.0472052897004,211025.83897189048,635.7567776213615,1693.9230769230771,2037.01912368451,5448.0,32.0,17013.0,2430.4285714285716,2881.473920128543,6831.0,69.0,15319.0,3063.8,3301.679224273612,8026.0,32.0,0,0,0,0,160,144,363.2895872122065,272.4671904091549,0.0,1440.0,309.8,529.0254112179166,279867.8857142857,0,1,0,0,0,0,1,1,0.0,331.92857142857144,101.75,638.8333333333334,0,0,0,0,0,0,8,814,6,3833,-1,5,5,0,0,0,0,0,0,0,0,0,No Label
10.108.241.130-65.8.113.93-8330-443-6,65.8.113.93,443,10.108.241.130,8330,6,28/09/2021 02:55:22 AM,205,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14634.146341463415,102.5,112.42997820866105,182.0,23.0,23.0,23.0,0.0,23.0,23.0,0,0,0,0,0,0,0,0,0,40,20,9756.09756097561,4878.048780487805,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,7,0,0,0,0,0,0,0,0,0,0,No Label
10.108.241.130-65.8.113.73-8335-443-6,10.108.241.130,8335,65.8.113.73,443,6,28/09/2021 02:55:22 AM,5999592,6,7,605.0,3979.0,517.0,0.0,100.83333333333333,205.40537156234905,1440.0,0.0,568.4285714285714,718.0092518305636,764.0519555329763,2.166814010019348,499965.9999999999,1717500.8474937698,5953746.0,55.0,5990805.0,1198161.0,2662426.113676115,5960846.0,159.0,45687.0,7614.5,8194.435203233961,18926.0,55.0,0,0,0,0,120,164,1.0000680046243144,1.1667460053950336,0.0,1440.0,327.42857142857144,563.3709959883266,317386.8791208791,0,1,0,0,0,0,1,1,1.0,352.61538461538464,100.83333333333333,568.4285714285714,0,0,0,0,0,0,6,605,7,3979,-1,5,3,0,45687.0,0.0,45687.0,45687.0,5953746.0,0.0,5953746.0,5953746.0,No Label
10.108.241.130-65.8.113.73-8336-443-6,10.108.241.130,8336,65.8.113.73,443,6,28/09/2021 02:55:22 AM,5999631,6,7,605.0,3979.0,517.0,0.0,100.83333333333333,205.40537156234905,1440.0,0.0,568.4285714285714,718.0092518305636,764.0469888898167,2.1667999248620458,499969.25,1719507.692876557,5960128.0,49.0,5991005.0,1198201.0,2664820.638736874,5965172.0,132.0,39371.0,6561.833333333333,6358.367004716436,15558.0,49.0,0,0,0,0,120,164,1.0000615037824827,1.166738421079563,0.0,1440.0,327.42857142857144,563.3709959883266,317386.8791208791,0,1,0,0,0,0,1,1,1.0,352.61538461538464,100.83333333333333,568.4285714285714,0,0,0,0,0,0,6,605,7,3979,-1,5,3,0,39371.0,0.0,39371.0,39371.0,5960128.0,0.0,5960128.0,5960128.0,No Label
10.108.241.130-65.8.113.73-8334-443-6,10.108.241.130,8334,65.8.113.73,443,6,28/09/2021 02:55:22 AM,6007586,7,7,605.0,3979.0,517.0,0.0,86.42857142857143,191.34250019520593,1440.0,0.0,568.4285714285714,718.0092518305636,763.0352690747998,2.330386947436125,462122.0,1653585.6015683513,5965573.0,32.0,6003320.0,1000553.3333333333,2434271.9008753863,5969481.0,33.0,41980.0,6996.666666666667,8269.213473279468,17632.0,32.0,0,0,0,0,140,164,1.1651934737180625,1.1651934737180625,0.0,1440.0,305.6,549.4212279429015,301863.6857142857,0,1,0,0,0,0,1,1,1.0,327.42857142857144,86.42857142857143,568.4285714285714,0,0,0,0,0,0,7,605,7,3979,-1,5,3,0,41980.0,0.0,41980.0,41980.0,5965573.0,0.0,5965573.0,5965573.0,No Label
10.108.241.130-65.8.113.73-8336-443-6,65.8.113.73,443,10.108.241.130,8336,6,28/09/2021 02:55:28 AM,80,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24999.999999999996,80.0,0.0,80.0,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,12499.999999999998,12499.999999999998,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,5,0,0,0,0,0,0,0,0,0,0,No Label
10.108.241.130-65.8.113.73-8335-443-6,65.8.113.73,443,10.108.241.130,8335,6,28/09/2021 02:55:28 AM,31,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64516.12903225806,31.0,0.0,31.0,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,32258.06451612903,32258.06451612903,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,5,0,0,0,0,0,0,0,0,0,0,No Label
10.108.241.130-65.8.113.73-8334-443-6,65.8.113.73,443,10.108.241.130,8334,6,28/09/2021 02:55:28 AM,1823,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1097.0927043335162,1823.0,0.0,1823.0,1823.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,548.5463521667581,548.5463521667581,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,5,0,0,0,0,0,0,0,0,0,0,No Label
10.108.241.130-99.86.181.55-8340-443-6,10.108.241.130,8340,99.86.181.55,443,6,28/09/2021 02:55:22 AM,115208689,20,20,1056.0,6423.0,517.0,0.0,52.80000000000002,146.86463513259952,1440.0,0.0,321.15,580.0394972939796,64.91697861434739,0.3471960348407402,2954068.9487179485,4547734.084219235,1.0002629E7,33.0,1.15201838E8,6063254.6315789465,4880954.120149191,1.0008935E7,156.0,1.10121458E8,5795866.210526316,5073086.062989421,1.0008618E7,33.0,0,0,0,0,400,556,0.1735980174203701,0.1735980174203701,0.0,1440.0,182.41463414634148,434.6409423656357,188912.74878048783,0,1,0,0,0,0,1,1,1.0,186.975,52.8,321.15,0,0,0,0,0,0,20,1056,20,6423,-1,7,15,0,8592.249999999998,12057.74968546257,46849.0,4340.0,9592118.833333332,1418720.9474978014,1.0002629E7,5087075.0,No Label
10.108.241.130-99.86.181.55-8339-443-6,10.108.241.130,8339,99.86.181.55,443,6,28/09/2021 02:55:22 AM,115213873,21,25,1496.0,9684.0,517.0,0.0,71.23809523809523,166.22271347860521,1440.0,0.0,387.35999999999996,632.0144302150071,97.03692540567575,0.3992574748355174,2560308.288888889,4346617.810948717,1.0002429E7,34.0,1.15206706E8,5760335.3,4940681.265848701,1.0007909E7,34.0,1.10129324E8,4588721.833333333,5091693.195967507,1.0008669E7,47.0,0,0,0,0,420,656,0.1822697167727362,0.2169877580627812,0.0,1440.0,237.8723404255319,496.45629506933284,246468.8529139685,0,1,0,0,0,0,1,1,1.0,243.04347826086956,71.23809523809524,387.36,0,0,0,0,0,0,21,1496,25,9684,-1,10,16,0,9002.333333333334,12266.782035854045,47896.0,4374.0,9592150.916666666,1419537.225367764,1.0002429E7,5084515.0,No Label
10.108.241.130-99.86.181.55-8338-443-6,10.108.241.130,8338,99.86.181.55,443,6,28/09/2021 02:55:22 AM,115214608,23,28,1936.0,11668.0,517.0,0.0,84.17391304347828,177.07359850790164,1440.0,0.0,416.7142857142859,629.2695858216982,118.0753051731079,0.4426522025748679,2304292.16,4190597.810871284,1.0002301E7,24.0,1.15207217E8,5236691.681818182,4994333.548014593,1.0008714E7,84.0,1.10150367E8,4079643.2222222225,5008288.014401177,1.0008795E7,24.0,0,0,0,0,460,716,0.199627463906313,0.24302473866855495,0.0,1440.0,261.6153846153846,501.90703591387233,251910.67269984915,0,1,0,0,0,0,1,1,1.0,266.7450980392157,84.17391304347827,416.7142857142857,0,0,0,0,0,0,23,1936,28,11668,-1,12,17,0,11131.833333333334,19874.1991117462,74199.0,4486.0,9590078.5,1425295.7564548103,1.0002301E7,5064157.0,No Label
10.108.241.130-99.86.181.55-8343-443-6,10.108.241.130,8343,99.86.181.55,443,6,28/09/2021 02:55:22 AM,115187279,19,21,1056.0,5813.0,517.0,0.0,55.57894736842105,150.3478617478937,1440.0,0.0,276.80952380952385,538.7134320812522,59.63332114130415,0.34726056859108545,2953519.9743589745,4547692.140157059,1.0002152E7,21.0,1.15182001E8,6399000.055555557,4790335.932632436,1.0007768E7,21.0,1.10104677E8,5505233.850000001,5105292.404609432,1.0008397E7,130.0,0,0,0,0,380,576,0.1649487700807656,0.18231179851031987,0.0,1440.0,167.5365853658537,410.1249868979562,168202.50487804873,0,1,0,0,0,0,1,1,1.0,171.725,55.578947368421055,276.8095238095238,0,0,0,0,0,0,19,1056,21,5813,-1,7,15,0,7589.916666666666,9166.16323479839,36575.0,4199.0,9591348.250000002,1419893.5925690238,1.0002152E7,5082581.0,No Label
10.108.241.130-99.86.181.55-8342-443-6,10.108.241.130,8342,99.86.181.55,443,6,28/09/2021 02:55:22 AM,115188835,19,20,1056.0,5732.0,517.0,0.0,55.57894736842105,150.3478617478937,1440.0,0.0,286.59999999999997,547.1538223051703,58.92932244691944,0.3385744807645637,3031285.1315789474,4582636.632105903,1.0009209E7,26.0,1.15182976E8,6399054.222222221,4790318.727322107,1.0012841E7,29.0,1.1010546E8,5795024.2105263155,5073913.721190572,1.0012647E7,26.0,0,0,0,0,380,556,0.1649465419109413,0.1736279388536224,0.0,1440.0,169.69999999999996,412.7645507537855,170374.57435897438,0,1,0,0,0,0,1,1,1.0,174.05128205128204,55.578947368421055,286.6,0,0,0,0,0,0,19,1056,20,5732,-1,7,15,0,7330.416666666667,9583.603264841402,37619.0,3438.0,9591736.75,1419778.1009552244,1.0009209E7,5083346.0,No Label
10.108.241.130-99.86.181.55-8341-443-6,10.108.241.130,8341,99.86.181.55,443,6,28/09/2021 02:55:22 AM,115190176,21,24,1496.0,8911.0,517.0,0.0,71.23809523809523,166.22271347860521,1440.0,0.0,371.29166666666663,600.70541714588,90.34624619377264,0.3906583144729287,2617958.545454546,4378651.402081331,1.0002144E7,21.0,1.15184727E8,5759236.35,4940208.534943026,1.0007832E7,32.0,1.10122982E8,4787955.739130435,5108850.123211095,1.000857E7,21.0,0,0,0,0,420,636,0.18230721342070005,0.20835110105222862,0.0,1440.0,226.2391304347826,469.34380598081873,220283.60821256042,0,1,0,0,0,0,1,1,1.0,231.26666666666668,71.23809523809524,371.2916666666667,0,0,0,0,0,0,21,1496,24,8911,-1,10,16,0,8967.083333333334,13021.278588653779,50287.0,4428.0,9590211.583333334,1424391.3263678288,1.0002144E7,5067162.0,No Label
10.108.241.130-65.8.113.73-8333-443-6,10.108.241.130,8333,65.8.113.73,443,6,28/09/2021 02:55:22 AM,115278273,20,21,975.0,6299.0,517.0,0.0,48.75000000000002,136.36671726982127,1440.0,0.0,299.9523809523809,561.8541159580907,63.09948796682615,0.355661122716507,2881956.8250000007,4512560.977579378,1.0002298E7,21.0,1.15272334E8,6066964.947368422,4877899.740654253,1.0008691E7,33.0,1.10164085E8,5508204.25,5103202.165862815,1.0009208E7,21.0,0,0,0,0,400,576,0.17349323059341806,0.18216789212308898,0.0,1440.0,173.19047619047618,423.2299287503326,179123.5725900116,0,1,0,0,0,0,1,1,1.0,177.41463414634146,48.75,299.95238095238096,0,0,0,0,0,0,20,975,21,6299,-1,7,15,0,12692.5,23375.536954454987,86892.0,4893.0,9593827.5,1410731.2002913759,1.0002298E7,5114155.0,No Label
10.108.241.130-65.8.113.73-8332-443-6,10.108.241.130,8332,65.8.113.73,443,6,28/09/2021 02:55:22 AM,115280393,22,24,1334.0,8619.0,517.0,0.0,60.636363636363654,146.19704428467685,1440.0,0.0,359.125,588.1327351290989,86.33731843714308,0.39902709214393467,2561786.5111111114,4346275.059041224,1.0002536E7,22.0,1.15274567E8,5489265.095238096,4974352.611559728,1.0008707E7,32.0,1.10165628E8,4789809.9130434785,5107709.779930861,1.0009362E7,22.0,0,0,0,0,440,636,0.1908390440688383,0.20818804807509633,0.0,1440.0,211.76595744680853,453.8010583449994,205935.40055504153,0,1,0,0,0,0,1,1,1.0,216.3695652173913,60.63636363636363,359.125,0,0,0,0,0,0,22,1334,24,8619,-1,10,16,0,12441.833333333334,24069.997937203272,88803.0,4255.0,9594254.916666668,1410684.032572623,1.0002536E7,5114733.0,No Label
10.108.241.130-65.8.113.73-8331-443-6,10.108.241.130,8331,65.8.113.73,443,6,28/09/2021 02:55:22 AM,115281837,28,31,2411.0,15579.0,517.0,0.0,86.10714285714286,162.02110957245648,1440.0,0.0,502.54838709677404,626.2534012527558,156.0523363277079,0.5117892075227775,1987617.8793103443,3967646.5371882566,1.0002294E7,21.0,1.15276505E8,4269500.185185185,4943839.7153009055,1.0008387E7,28.0,1.10167456E8,3672248.533333333,4902693.322918091,1.0009137E7,21.0,0,0,0,0,560,776,0.24288301373962318,0.2689061937831542,0.0,1440.0,299.83333333333337,506.1884209601443,256226.71751412423,0,1,0,0,0,0,1,1,1.0,304.91525423728814,86.10714285714286,502.5483870967742,0,0,0,0,0,0,28,2411,31,15579,-1,16,19,0,12766.25,24386.579521326887,90174.0,4785.0,9594051.166666668,1410739.245598616,1.0002294E7,5114353.0,No Label
10.108.241.130-99.86.181.55-8340-443-6,99.86.181.55,443,10.108.241.130,8340,6,28/09/2021 02:57:18 AM,37,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54054.05405405405,37.0,0.0,37.0,37.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,27027.027027027027,27027.027027027027,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,7,0,0,0,0,0,0,0,0,0,0,No Label
10.108.241.130-99.86.181.55-8339-443-6,99.86.181.55,443,10.108.241.130,8339,6,28/09/2021 02:57:18 AM,55,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36363.63636363636,55.0,0.0,55.0,55.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,18181.81818181818,18181.81818181818,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,10,0,0,0,0,0,0,0,0,0,0,No Label
10.108.241.130-99.86.181.55-8342-443-6,99.86.181.55,443,10.108.241.130,8342,6,28/09/2021 02:57:18 AM,39,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51282.05128205128,39.0,0.0,39.0,39.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,25641.02564102564,25641.02564102564,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,7,0,0,0,0,0,0,0,0,0,0,No Label
10.108.241.130-65.8.113.73-8332-443-6,65.8.113.73,443,10.108.241.130,8332,6,28/09/2021 02:57:18 AM,21,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95238.09523809524,21.0,0.0,21.0,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,47619.04761904762,47619.04761904762,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,10,0,0,0,0,0,0,0,0,0,0,No Label
10.108.241.130-99.86.181.55-8341-443-6,99.86.181.55,443,10.108.241.130,8341,6,28/09/2021 02:57:18 AM,110,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18181.81818181818,110.0,0.0,110.0,110.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,9090.90909090909,9090.90909090909,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,10,0,0,0,0,0,0,0,0,0,0,No Label
10.108.241.130-99.86.181.55-8343-443-6,99.86.181.55,443,10.108.241.130,8343,6,28/09/2021 02:57:18 AM,309,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6472.491909385114,309.0,0.0,309.0,309.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,3236.245954692557,3236.245954692557,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,7,0,0,0,0,0,0,0,0,0,0,No Label
10.108.241.130-99.86.181.55-8338-443-6,99.86.181.55,443,10.108.241.130,8338,6,28/09/2021 02:57:18 AM,402,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4975.124378109453,402.0,0.0,402.0,402.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2487.5621890547263,2487.5621890547263,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,12,0,0,0,0,0,0,0,0,0,0,No Label
10.108.241.130-65.8.113.73-8333-443-6,65.8.113.73,443,10.108.241.130,8333,6,28/09/2021 02:57:18 AM,88,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22727.272727272728,88.0,0.0,88.0,88.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,11363.636363636364,11363.636363636364,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,7,0,0,0,0,0,0,0,0,0,0,No Label
10.108.241.130-65.8.113.73-8331-443-6,65.8.113.73,443,10.108.241.130,8331,6,28/09/2021 02:57:18 AM,115,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17391.304347826088,115.0,0.0,115.0,115.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,8695.652173913044,8695.652173913044,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,16,0,0,0,0,0,0,0,0,0,0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,28/09/2021 02:55:14 AM,42687745,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11712963521497798,1.067193625E7,1.7465614460855313E7,3.6502768E7,65.0,3.6502934E7,1.2167644666666668E7,2.10748350109018E7,3.6502768E7,65.0,0,0,0,0,0,0,0,0,0,0,0,0.09370370817198238,0.023425927042995596,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,1,0,-1,-1,0,0,101.0,0.0,101.0,101.0,2.13437895E7,2.1438032986422155E7,3.6502768E7,6184811.0,No Label
10.108.241.130-34.117.237.239-8385-443-6,10.108.241.130,8385,34.117.237.239,443,6,28/09/2021 02:55:52 AM,118032705,14,17,1139.0,5492.0,517.0,0.0,81.35714285714286,144.31355133493562,1430.0,0.0,323.0588235294118,547.7972333113133,56.17934452997582,0.26263907109474444,3934423.5,1.4942273538704094E7,5.8994964E7,23.0,1.1802748E8,9079036.923076924,2.211367754827929E7,5.8994964E7,91.0,1.18022354E8,7376397.125,2.0118243184723333E7,5.9010788E7,23.0,0,0,0,0,280,364,0.11861119339762652,0.14402787769711792,0.0,1430.0,207.21874999999994,423.68922987027236,179512.5635080645,0,1,0,0,0,0,1,1,1.0,213.90322580645162,81.35714285714286,323.05882352941177,0,0,0,0,0,0,14,1139,17,5492,-1,269,8,0,105073.0,126522.61635770895,194538.0,15608.0,5.89034145E7,129470.54452847567,5.8994964E7,5.8811865E7,No Label
10.108.241.130-34.117.237.239-8385-443-6,10.108.241.130,8385,34.117.237.239,443,6,28/09/2021 02:58:43 AM,600,2,1,24.0,39.0,24.0,0.0,12.0,16.97056274847714,39.0,39.0,39.0,0.0,105000.00000000001,5000.0,300.0,316.7838379715733,524.0,76.0,76.0,76.0,0.0,76.0,76.0,0,0,0,0,0,0,1,0,0,40,20,3333.3333333333335,1666.6666666666667,0.0,39.0,25.5,18.411952639521967,339.0,0,0,0,1,1,0,0,0,0.0,34.0,12.0,39.0,0,0,0,0,0,0,2,24,1,39,-1,65530,1,0,0,0,0,0,0,0,0,0,No Label
